"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"85"	"85"	"1"	"1"	"1"	"7.5581886370785"	"ABCC3|8714"	"CASKIN2|57513"	"FADS3|3995"	"LMO7|4008"	"PYCR1|5831"	"RNF149|284996"	"SC4MOL|6307"	"SPTBN2|6712"
"86"	"86"	"1"	"1"	"1"	"7.61074094330782"	"ARL4A|10124"	"LTF|4057"	"MMP11|4320"	"MYL9|10398"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"	"TNFAIP1|7126"
"87"	"87"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"8.42820852811344"	"C13orf1|57213"	"CASKIN2|57513"	"KCNN4|3783"	"LPCAT4|254531"	"MYL6|4637"	"PNPLA6|10908"	"PYCR1|5831"	"SC4MOL|6307"
"88"	"88"	"1"	"1"	"1"	"7.46557552801852"	"ABCC3|8714"	"C13orf1|57213"	"CD101|9398"	"EPAS1|2034"	"LTF|4057"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"
"89"	"89"	"1"	"1"	"1"	"7.13738704335788"	"ABCC3|8714"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"SRPK1|6732"
"90"	"90"	"1"	"1"	"1"	"7.03618318405002"	"DHCR7|1717"	"FERMT1|55612"	"HYAL2|8692"	"IQGAP3|128239"	"LGR4|55366"	"MDK|4192"	"PYCR1|5831"	"RTKN2|219790"
"91"	"91"	"0.988888888888889"	"0.987341772151899"	"1"	"8.28916043387368"	"ADAM8|101"	"CENPF|1063"	"CORO1C|23603"	"MACROD2|140733"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TP53BP2|7159"
"92"	"92"	"1"	"1"	"1"	"7.50105238963226"	"C12orf49|79794"	"EPAS1|2034"	"LGR4|55366"	"LOC84740|84740"	"PYCR1|5831"	"SBDS|51119"	"SLC19A1|6573"	"SPTBN2|6712"
"93"	"93"	"1"	"1"	"1"	"8.20489861076411"	"CORO1C|23603"	"FERMT1|55612"	"MACROD2|140733"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SYNJ2|8871"	"TOP2A|7153"
"94"	"94"	"1"	"1"	"1"	"7.41229712223502"	"ETV4|2118"	"FUT2|2524"	"LGR4|55366"	"NPL|80896"	"RNF149|284996"	"RTKN2|219790"	"TNFAIP1|7126"	"TOP2A|7153"
