"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"79"	"79"	"0.988888888888889"	"1"	"0.909090909090909"	"8.79666968533749"	"CASKIN2|57513"	"CD101|9398"	"COL17A1|1308"	"GDF15|9518"	"PREX1|57580"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"80"	"80"	"1"	"1"	"1"	"8.53151903988992"	"CYP51A1|1595"	"ETV4|2118"	"HYAL2|8692"	"LGR4|55366"	"MIF4GD|57409"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SIRPB1|10326"
"81"	"81"	"1"	"1"	"1"	"7.97944056219692"	"CA9|768"	"CLEC2D|29121"	"DOPEY2|9980"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"SRPK1|6732"
"82"	"82"	"1"	"1"	"1"	"7.63606830108279"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"COL17A1|1308"	"DOPEY2|9980"	"MGAT3|4248"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"83"	"83"	"1"	"1"	"1"	"7.6271765632462"	"DUSP8|1850"	"ETV4|2118"	"IQGAP3|128239"	"LGR4|55366"	"MMP11|4320"	"NPL|80896"	"RTKN2|219790"	"SIRPB1|10326"	"TUBB6|84617"
"84"	"84"	"1"	"1"	"1"	"8.73437488954501"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"ETV4|2118"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
"85"	"85"	"1"	"1"	"1"	"7.84788574308026"	"FERMT1|55612"	"IQGAP3|128239"	"KCTD10|83892"	"MACROD2|140733"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"USP48|84196"
"86"	"86"	"0.988888888888889"	"1"	"0.909090909090909"	"9.14911776225277"	"CDCA8|55143"	"FADS3|3995"	"FOLR2|2350"	"HS6ST2|90161"	"KDELR3|11015"	"MSR1|4481"	"RTKN2|219790"	"SPP1|6696"	"TUBA1B|10376"
"87"	"87"	"1"	"1"	"1"	"7.68560780394419"	"ASPM|259266"	"CASKIN2|57513"	"MACROD2|140733"	"NUS1|116150"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"	"ZNF330|27309"
"88"	"88"	"0.988888888888889"	"1"	"0.909090909090909"	"8.1641415232596"	"C1orf198|84886"	"ENC1|8507"	"HYAL2|8692"	"LGR4|55366"	"LIMCH1|22998"	"PDIK1L|149420"	"PYCR1|5831"	"RTKN2|219790"	"SBDSP1|155370"
"89"	"89"	"1"	"1"	"1"	"8.39856607628232"	"ATHL1|80162"	"CYP51A1|1595"	"PALM2-AKAP2|445815"	"PNPLA6|10908"	"PYCR1|5831"	"SLC35D1|23169"	"SYNJ2|8871"	"TRAF1|7185"	"WTAP|9589"
"90"	"90"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"9.93791878716788"	"CASKIN2|57513"	"COL12A1|1303"	"DLG5|9231"	"GLDN|342035"	"MMP11|4320"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"THBS2|7058"
"91"	"91"	"0.977777777777778"	"0.974683544303797"	"1"	"10.5686629703182"	"ANKS1A|23294"	"COL10A1|1300"	"COL17A1|1308"	"GTPBP5|26164"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"SRPK1|6732"	"ST6GALNAC5|81849"
"92"	"92"	"1"	"1"	"1"	"9.44473577270687"	"ANKRD22|118932"	"CASKIN2|57513"	"CD101|9398"	"CORO1C|23603"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"	"TTYH3|80727"
"93"	"93"	"1"	"1"	"1"	"8.36792904503869"	"ABCC3|8714"	"DGKA|1606"	"MYO1C|4641"	"PITPNA|5306"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"	"TUBA1B|10376"
"94"	"94"	"1"	"1"	"1"	"8.21664462897247"	"ARL4A|10124"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"95"	"95"	"1"	"1"	"1"	"7.84939957866597"	"ARL4A|10124"	"ARPC2|10109"	"COL10A1|1300"	"COPS8|10920"	"DGKA|1606"	"EPAS1|2034"	"MYL9|10398"	"PYCR1|5831"	"SLC19A1|6573"
"96"	"96"	"1"	"1"	"1"	"9.3095496769258"	"CCL19|6363"	"CD52|1043"	"DLG5|9231"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"SLC19A1|6573"
"97"	"97"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"8.4914519523146"	"ACAT2|39"	"C9orf140|89958"	"DOCK7|85440"	"ETV4|2118"	"NPL|80896"	"PALM2-AKAP2|445815"	"PNPLA6|10908"	"RTKN2|219790"	"SYNJ2|8871"
"98"	"98"	"0.988888888888889"	"0.987341772151899"	"1"	"8.51226732557388"	"CYP51A1|1595"	"HYAL2|8692"	"LGR4|55366"	"LTF|4057"	"MME|4311"	"MMP11|4320"	"MYL9|10398"	"PYCR1|5831"	"RTKN2|219790"
"99"	"99"	"1"	"1"	"1"	"7.49106882597704"	"ARL4A|10124"	"DGKA|1606"	"EPAS1|2034"	"ETV4|2118"	"GGT5|2687"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TNPO1|3842"
"100"	"100"	"0.988888888888889"	"1"	"0.909090909090909"	"7.29163176540209"	"ADAM28|10863"	"ETV4|2118"	"KDELR3|11015"	"RNF149|284996"	"RTKN2|219790"	"SRPK1|6732"	"TNFAIP1|7126"	"TOP2A|7153"	"TSPAN13|27075"
